NAME,state,place,Year,Topic,Geo,Variable,Value,Display
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,DP05_0001E,,Total population
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,DP05_0001E,,Total population
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,DP05_0001E,,Total population
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,DP05_0001E,,Total population
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,DP05_0001E,,Total population
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,DP05_0001E,,Total population
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,DP05_0018E,,Median age (years)
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,DP05_0018E,,Median age (years)
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,DP05_0018E,,Median age (years)
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,DP05_0018E,,Median age (years)
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,DP05_0018E,,Median age (years)
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,DP05_0018E,,Median age (years)
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_001M,,B01001_001M
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_001M,,B01001_001M
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_001M,,B01001_001M
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_001M,,B01001_001M
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_001M,,B01001_001M
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_001M,,B01001_001M
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_001MA,,B01001_001MA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_001MA,,B01001_001MA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_001MA,,B01001_001MA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_001MA,,B01001_001MA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_001MA,,B01001_001MA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_001MA,,B01001_001MA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_002E,,B01001_002E
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_002EA,,B01001_002EA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_002M,,B01001_002M
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_002MA,,B01001_002MA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_003E,,B01001_003E
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_003E,,B01001_003E
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_003E,,B01001_003E
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_003E,,B01001_003E
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_003E,,B01001_003E
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_003E,,B01001_003E
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_003EA,,B01001_003EA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_003EA,,B01001_003EA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_003EA,,B01001_003EA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_003EA,,B01001_003EA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_003EA,,B01001_003EA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_003EA,,B01001_003EA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_003M,,B01001_003M
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_003M,,B01001_003M
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_003M,,B01001_003M
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_003M,,B01001_003M
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_003M,,B01001_003M
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_003M,,B01001_003M
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_003MA,,B01001_003MA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_003MA,,B01001_003MA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_003MA,,B01001_003MA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_003MA,,B01001_003MA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_003MA,,B01001_003MA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_003MA,,B01001_003MA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_004E,,B01001_004E
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_004E,,B01001_004E
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_004E,,B01001_004E
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_004E,,B01001_004E
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_004E,,B01001_004E
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_004E,,B01001_004E
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_004EA,,B01001_004EA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_004EA,,B01001_004EA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_004EA,,B01001_004EA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_004EA,,B01001_004EA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_004EA,,B01001_004EA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_004EA,,B01001_004EA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_004M,,B01001_004M
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_004M,,B01001_004M
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_004M,,B01001_004M
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_004M,,B01001_004M
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_004M,,B01001_004M
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_004M,,B01001_004M
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_004MA,,B01001_004MA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_004MA,,B01001_004MA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_004MA,,B01001_004MA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_004MA,,B01001_004MA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_004MA,,B01001_004MA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_004MA,,B01001_004MA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_005E,,B01001_005E
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_005E,,B01001_005E
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_005E,,B01001_005E
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_005E,,B01001_005E
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_005E,,B01001_005E
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_005E,,B01001_005E
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_005EA,,B01001_005EA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_005EA,,B01001_005EA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_005EA,,B01001_005EA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_005EA,,B01001_005EA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_005EA,,B01001_005EA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_005EA,,B01001_005EA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_005M,,B01001_005M
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_005M,,B01001_005M
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_005M,,B01001_005M
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_005M,,B01001_005M
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_005M,,B01001_005M
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_005M,,B01001_005M
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_005MA,,B01001_005MA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_005MA,,B01001_005MA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_005MA,,B01001_005MA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_005MA,,B01001_005MA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_005MA,,B01001_005MA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_005MA,,B01001_005MA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_006E,,B01001_006E
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_006E,,B01001_006E
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_006E,,B01001_006E
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_006E,,B01001_006E
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_006E,,B01001_006E
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_006E,,B01001_006E
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_006EA,,B01001_006EA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_006EA,,B01001_006EA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_006EA,,B01001_006EA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_006EA,,B01001_006EA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_006EA,,B01001_006EA
