NAME,state,place,Year,Topic,Geo,Variable,Value,Display
"Long Beach city, California",06,43000,2018,Total Population,City,DP05_0001E,468883.0,Total population
"Long Beach city, California",06,43000,2019,Total Population,City,DP05_0001E,466776.0,Total population
"Long Beach city, California",06,43000,2020,Total Population,City,DP05_0001E,462081.0,Total population
"Long Beach city, California",06,43000,2021,Total Population,City,DP05_0001E,466565.0,Total population
"Long Beach city, California",06,43000,2022,Total Population,City,DP05_0001E,462293.0,Total population
"Long Beach city, California",06,43000,2023,Total Population,City,DP05_0001E,458491.0,Total population
"Long Beach city, California",06,43000,2018,Total Population,City,DP05_0018E,,Median age (years)
"Long Beach city, California",06,43000,2019,Total Population,City,DP05_0018E,,Median age (years)
"Long Beach city, California",06,43000,2020,Total Population,City,DP05_0018E,,Median age (years)
"Long Beach city, California",06,43000,2021,Total Population,City,DP05_0018E,,Median age (years)
"Long Beach city, California",06,43000,2022,Total Population,City,DP05_0018E,,Median age (years)
"Long Beach city, California",06,43000,2023,Total Population,City,DP05_0018E,,Median age (years)
"Long Beach city, California",06,43000,2018,Total Population,City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2019,Total Population,City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2020,Total Population,City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2021,Total Population,City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2022,Total Population,City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2023,Total Population,City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2018,Total Population,City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2019,Total Population,City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2020,Total Population,City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2021,Total Population,City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2022,Total Population,City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2023,Total Population,City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2018,Total Population,City,B01001_001M,,B01001_001M
