NAME,us,Year,Topic,Geo,Variable,Value,Display
United States,1,2018,Total Population,US,DP05_0001E,322903030.0,Total population
United States,1,2019,Total Population,US,DP05_0001E,324697795.0,Total population
United States,1,2020,Total Population,US,DP05_0001E,326569308.0,Total population
United States,1,2021,Total Population,US,DP05_0001E,329725481.0,Total population
United States,1,2022,Total Population,US,DP05_0001E,331097593.0,Total population
United States,1,2023,Total Population,US,DP05_0001E,332387540.0,Total population
United States,1,2018,Median Age,US,DP05_0001E,,Total population
United States,1,2019,Median Age,US,DP05_0001E,,Total population
United States,1,2020,Median Age,US,DP05_0001E,,Total population
United States,1,2021,Median Age,US,DP05_0001E,,Total population
United States,1,2022,Median Age,US,DP05_0001E,,Total population
United States,1,2023,Median Age,US,DP05_0001E,,Total population
United States,1,2018,Sex by Age (full),US,DP05_0001E,,Total population
United States,1,2019,Sex by Age (full),US,DP05_0001E,,Total population
United States,1,2020,Sex by Age (full),US,DP05_0001E,,Total population
United States,1,2021,Sex by Age (full),US,DP05_0001E,,Total population
United States,1,2022,Sex by Age (full),US,DP05_0001E,,Total population
United States,1,2023,Sex by Age (full),US,DP05_0001E,,Total population
United States,1,2018,Race (full),US,DP05_0001E,,Total population
United States,1,2019,Race (full),US,DP05_0001E,,Total population
United States,1,2020,Race (full),US,DP05_0001E,,Total population
United States,1,2021,Race (full),US,DP05_0001E,,Total population
United States,1,2022,Race (full),US,DP05_0001E,,Total population
United States,1,2023,Race (full),US,DP05_0001E,,Total population
United States,1,2018,Hispanic/Latino Origin (full),US,DP05_0001E,,Total population
United States,1,2019,Hispanic/Latino Origin (full),US,DP05_0001E,,Total population
United States,1,2020,Hispanic/Latino Origin (full),US,DP05_0001E,,Total population
United States,1,2021,Hispanic/Latino Origin (full),US,DP05_0001E,,Total population
United States,1,2022,Hispanic/Latino Origin (full),US,DP05_0001E,,Total population
United States,1,2023,Hispanic/Latino Origin (full),US,DP05_0001E,,Total population
United States,1,2018,Total Population,US,DP05_0018E,,Median age (years)
United States,1,2019,Total Population,US,DP05_0018E,,Median age (years)
United States,1,2020,Total Population,US,DP05_0018E,,Median age (years)
United States,1,2021,Total Population,US,DP05_0018E,,Median age (years)
United States,1,2022,Total Population,US,DP05_0018E,,Median age (years)
United States,1,2023,Total Population,US,DP05_0018E,,Median age (years)
United States,1,2018,Median Age,US,DP05_0018E,37.9,Median age (years)
United States,1,2019,Median Age,US,DP05_0018E,38.1,Median age (years)
United States,1,2020,Median Age,US,DP05_0018E,38.2,Median age (years)
United States,1,2021,Median Age,US,DP05_0018E,38.4,Median age (years)
United States,1,2022,Median Age,US,DP05_0018E,38.5,Median age (years)
United States,1,2023,Median Age,US,DP05_0018E,38.7,Median age (years)
United States,1,2018,Sex by Age (full),US,DP05_0018E,,Median age (years)
United States,1,2019,Sex by Age (full),US,DP05_0018E,,Median age (years)
United States,1,2020,Sex by Age (full),US,DP05_0018E,,Median age (years)
United States,1,2021,Sex by Age (full),US,DP05_0018E,,Median age (years)
United States,1,2022,Sex by Age (full),US,DP05_0018E,,Median age (years)
United States,1,2023,Sex by Age (full),US,DP05_0018E,,Median age (years)
United States,1,2018,Race (full),US,DP05_0018E,,Median age (years)
United States,1,2019,Race (full),US,DP05_0018E,,Median age (years)
United States,1,2020,Race (full),US,DP05_0018E,,Median age (years)
United States,1,2021,Race (full),US,DP05_0018E,,Median age (years)
United States,1,2022,Race (full),US,DP05_0018E,,Median age (years)
United States,1,2023,Race (full),US,DP05_0018E,,Median age (years)
United States,1,2018,Hispanic/Latino Origin (full),US,DP05_0018E,,Median age (years)
United States,1,2019,Hispanic/Latino Origin (full),US,DP05_0018E,,Median age (years)
United States,1,2020,Hispanic/Latino Origin (full),US,DP05_0018E,,Median age (years)
United States,1,2021,Hispanic/Latino Origin (full),US,DP05_0018E,,Median age (years)
United States,1,2022,Hispanic/Latino Origin (full),US,DP05_0018E,,Median age (years)
United States,1,2023,Hispanic/Latino Origin (full),US,DP05_0018E,,Median age (years)
United States,1,2018,Total Population,US,B01001_001E,,B01001_001E
United States,1,2019,Total Population,US,B01001_001E,,B01001_001E
United States,1,2020,Total Population,US,B01001_001E,,B01001_001E
United States,1,2021,Total Population,US,B01001_001E,,B01001_001E
United States,1,2022,Total Population,US,B01001_001E,,B01001_001E
United States,1,2023,Total Population,US,B01001_001E,,B01001_001E
United States,1,2018,Median Age,US,B01001_001E,,B01001_001E
United States,1,2019,Median Age,US,B01001_001E,,B01001_001E
United States,1,2020,Median Age,US,B01001_001E,,B01001_001E
United States,1,2021,Median Age,US,B01001_001E,,B01001_001E
United States,1,2022,Median Age,US,B01001_001E,,B01001_001E
United States,1,2023,Median Age,US,B01001_001E,,B01001_001E
United States,1,2018,Sex by Age (full),US,B01001_001E,322903030.0,B01001_001E
United States,1,2019,Sex by Age (full),US,B01001_001E,324697795.0,B01001_001E
United States,1,2020,Sex by Age (full),US,B01001_001E,326569308.0,B01001_001E
United States,1,2021,Sex by Age (full),US,B01001_001E,329725481.0,B01001_001E
United States,1,2022,Sex by Age (full),US,B01001_001E,331097593.0,B01001_001E
United States,1,2023,Sex by Age (full),US,B01001_001E,332387540.0,B01001_001E
United States,1,2018,Race (full),US,B01001_001E,,B01001_001E
United States,1,2019,Race (full),US,B01001_001E,,B01001_001E
United States,1,2020,Race (full),US,B01001_001E,,B01001_001E
United States,1,2021,Race (full),US,B01001_001E,,B01001_001E
United States,1,2022,Race (full),US,B01001_001E,,B01001_001E
United States,1,2023,Race (full),US,B01001_001E,,B01001_001E
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_001E,,B01001_001E
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_001E,,B01001_001E
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_001E,,B01001_001E
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_001E,,B01001_001E
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_001E,,B01001_001E
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_001E,,B01001_001E
United States,1,2018,Total Population,US,B01001_001EA,,B01001_001EA
United States,1,2019,Total Population,US,B01001_001EA,,B01001_001EA
United States,1,2020,Total Population,US,B01001_001EA,,B01001_001EA
United States,1,2021,Total Population,US,B01001_001EA,,B01001_001EA
United States,1,2022,Total Population,US,B01001_001EA,,B01001_001EA
United States,1,2023,Total Population,US,B01001_001EA,,B01001_001EA
United States,1,2018,Median Age,US,B01001_001EA,,B01001_001EA
United States,1,2019,Median Age,US,B01001_001EA,,B01001_001EA
United States,1,2020,Median Age,US,B01001_001EA,,B01001_001EA
United States,1,2021,Median Age,US,B01001_001EA,,B01001_001EA
United States,1,2022,Median Age,US,B01001_001EA,,B01001_001EA
United States,1,2023,Median Age,US,B01001_001EA,,B01001_001EA
United States,1,2018,Sex by Age (full),US,B01001_001EA,,B01001_001EA
United States,1,2019,Sex by Age (full),US,B01001_001EA,,B01001_001EA
United States,1,2020,Sex by Age (full),US,B01001_001EA,,B01001_001EA
United States,1,2021,Sex by Age (full),US,B01001_001EA,,B01001_001EA
United States,1,2022,Sex by Age (full),US,B01001_001EA,,B01001_001EA
United States,1,2023,Sex by Age (full),US,B01001_001EA,,B01001_001EA
United States,1,2018,Race (full),US,B01001_001EA,,B01001_001EA
United States,1,2019,Race (full),US,B01001_001EA,,B01001_001EA
United States,1,2020,Race (full),US,B01001_001EA,,B01001_001EA
United States,1,2021,Race (full),US,B01001_001EA,,B01001_001EA
United States,1,2022,Race (full),US,B01001_001EA,,B01001_001EA
United States,1,2023,Race (full),US,B01001_001EA,,B01001_001EA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_001EA,,B01001_001EA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_001EA,,B01001_001EA
