NAME,us,Year,Topic,Geo,Variable,Value,Display
United States,1,2018,Hispanic/Latino Origin (full),US,DP05_0001E,,Total population
United States,1,2019,Hispanic/Latino Origin (full),US,DP05_0001E,,Total population
United States,1,2020,Hispanic/Latino Origin (full),US,DP05_0001E,,Total population
United States,1,2021,Hispanic/Latino Origin (full),US,DP05_0001E,,Total population
United States,1,2022,Hispanic/Latino Origin (full),US,DP05_0001E,,Total population
United States,1,2023,Hispanic/Latino Origin (full),US,DP05_0001E,,Total population
United States,1,2018,Hispanic/Latino Origin (full),US,DP05_0018E,,Median age (years)
United States,1,2019,Hispanic/Latino Origin (full),US,DP05_0018E,,Median age (years)
United States,1,2020,Hispanic/Latino Origin (full),US,DP05_0018E,,Median age (years)
United States,1,2021,Hispanic/Latino Origin (full),US,DP05_0018E,,Median age (years)
United States,1,2022,Hispanic/Latino Origin (full),US,DP05_0018E,,Median age (years)
United States,1,2023,Hispanic/Latino Origin (full),US,DP05_0018E,,Median age (years)
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_001E,,B01001_001E
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_001E,,B01001_001E
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_001E,,B01001_001E
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_001E,,B01001_001E
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_001E,,B01001_001E
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_001E,,B01001_001E
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_001EA,,B01001_001EA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_001EA,,B01001_001EA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_001EA,,B01001_001EA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_001EA,,B01001_001EA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_001EA,,B01001_001EA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_001EA,,B01001_001EA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_001M,,B01001_001M
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_001M,,B01001_001M
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_001M,,B01001_001M
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_001M,,B01001_001M
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_001M,,B01001_001M
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_001M,,B01001_001M
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_001MA,,B01001_001MA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_001MA,,B01001_001MA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_001MA,,B01001_001MA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_001MA,,B01001_001MA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_001MA,,B01001_001MA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_001MA,,B01001_001MA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_002E,,B01001_002E
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_002E,,B01001_002E
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_002E,,B01001_002E
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_002E,,B01001_002E
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_002E,,B01001_002E
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_002E,,B01001_002E
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_002EA,,B01001_002EA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_002EA,,B01001_002EA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_002EA,,B01001_002EA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_002EA,,B01001_002EA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_002EA,,B01001_002EA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_002EA,,B01001_002EA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_002M,,B01001_002M
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_002M,,B01001_002M
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_002M,,B01001_002M
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_002M,,B01001_002M
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_002M,,B01001_002M
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_002M,,B01001_002M
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_002MA,,B01001_002MA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_002MA,,B01001_002MA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_002MA,,B01001_002MA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_002MA,,B01001_002MA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_002MA,,B01001_002MA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_002MA,,B01001_002MA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_003E,,B01001_003E
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_003E,,B01001_003E
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_003E,,B01001_003E
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_003E,,B01001_003E
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_003E,,B01001_003E
