NAME,us,Year,Topic,Geo,Variable,Value,Display
United States,1,2018,Median Age,US,DP05_0001E,,Total population
United States,1,2019,Median Age,US,DP05_0001E,,Total population
United States,1,2020,Median Age,US,DP05_0001E,,Total population
United States,1,2021,Median Age,US,DP05_0001E,,Total population
United States,1,2022,Median Age,US,DP05_0001E,,Total population
United States,1,2023,Median Age,US,DP05_0001E,,Total population
United States,1,2018,Median Age,US,DP05_0018E,37.9,Median age (years)
United States,1,2019,Median Age,US,DP05_0018E,38.1,Median age (years)
United States,1,2020,Median Age,US,DP05_0018E,38.2,Median age (years)
United States,1,2021,Median Age,US,DP05_0018E,38.4,Median age (years)
United States,1,2022,Median Age,US,DP05_0018E,38.5,Median age (years)
United States,1,2023,Median Age,US,DP05_0018E,38.7,Median age (years)
United States,1,2018,Median Age,US,B01001_001E,,B01001_001E
United States,1,2019,Median Age,US,B01001_001E,,B01001_001E
United States,1,2020,Median Age,US,B01001_001E,,B01001_001E
United States,1,2021,Median Age,US,B01001_001E,,B01001_001E
United States,1,2022,Median Age,US,B01001_001E,,B01001_001E
United States,1,2023,Median Age,US,B01001_001E,,B01001_001E
United States,1,2018,Median Age,US,B01001_001EA,,B01001_001EA
United States,1,2019,Median Age,US,B01001_001EA,,B01001_001EA
United States,1,2020,Median Age,US,B01001_001EA,,B01001_001EA
United States,1,2021,Median Age,US,B01001_001EA,,B01001_001EA
United States,1,2022,Median Age,US,B01001_001EA,,B01001_001EA
United States,1,2023,Median Age,US,B01001_001EA,,B01001_001EA
United States,1,2018,Median Age,US,B01001_001M,,B01001_001M
United States,1,2019,Median Age,US,B01001_001M,,B01001_001M
United States,1,2020,Median Age,US,B01001_001M,,B01001_001M
United States,1,2021,Median Age,US,B01001_001M,,B01001_001M
United States,1,2022,Median Age,US,B01001_001M,,B01001_001M
United States,1,2023,Median Age,US,B01001_001M,,B01001_001M
United States,1,2018,Median Age,US,B01001_001MA,,B01001_001MA
United States,1,2019,Median Age,US,B01001_001MA,,B01001_001MA
United States,1,2020,Median Age,US,B01001_001MA,,B01001_001MA
United States,1,2021,Median Age,US,B01001_001MA,,B01001_001MA
United States,1,2022,Median Age,US,B01001_001MA,,B01001_001MA
United States,1,2023,Median Age,US,B01001_001MA,,B01001_001MA
United States,1,2018,Median Age,US,B01001_002E,,B01001_002E
United States,1,2019,Median Age,US,B01001_002E,,B01001_002E
United States,1,2020,Median Age,US,B01001_002E,,B01001_002E
United States,1,2021,Median Age,US,B01001_002E,,B01001_002E
United States,1,2022,Median Age,US,B01001_002E,,B01001_002E
United States,1,2023,Median Age,US,B01001_002E,,B01001_002E
United States,1,2018,Median Age,US,B01001_002EA,,B01001_002EA
United States,1,2019,Median Age,US,B01001_002EA,,B01001_002EA
United States,1,2020,Median Age,US,B01001_002EA,,B01001_002EA
United States,1,2021,Median Age,US,B01001_002EA,,B01001_002EA
United States,1,2022,Median Age,US,B01001_002EA,,B01001_002EA
United States,1,2023,Median Age,US,B01001_002EA,,B01001_002EA
United States,1,2018,Median Age,US,B01001_002M,,B01001_002M
United States,1,2019,Median Age,US,B01001_002M,,B01001_002M
United States,1,2020,Median Age,US,B01001_002M,,B01001_002M
United States,1,2021,Median Age,US,B01001_002M,,B01001_002M
United States,1,2022,Median Age,US,B01001_002M,,B01001_002M
United States,1,2023,Median Age,US,B01001_002M,,B01001_002M
United States,1,2018,Median Age,US,B01001_002MA,,B01001_002MA
United States,1,2019,Median Age,US,B01001_002MA,,B01001_002MA
United States,1,2020,Median Age,US,B01001_002MA,,B01001_002MA
United States,1,2021,Median Age,US,B01001_002MA,,B01001_002MA
United States,1,2022,Median Age,US,B01001_002MA,,B01001_002MA
United States,1,2023,Median Age,US,B01001_002MA,,B01001_002MA
United States,1,2018,Median Age,US,B01001_003E,,B01001_003E
United States,1,2019,Median Age,US,B01001_003E,,B01001_003E
United States,1,2020,Median Age,US,B01001_003E,,B01001_003E
United States,1,2021,Median Age,US,B01001_003E,,B01001_003E
United States,1,2022,Median Age,US,B01001_003E,,B01001_003E
United States,1,2023,Median Age,US,B01001_003E,,B01001_003E
United States,1,2018,Median Age,US,B01001_003EA,,B01001_003EA
United States,1,2019,Median Age,US,B01001_003EA,,B01001_003EA
United States,1,2020,Median Age,US,B01001_003EA,,B01001_003EA
United States,1,2021,Median Age,US,B01001_003EA,,B01001_003EA
United States,1,2022,Median Age,US,B01001_003EA,,B01001_003EA
United States,1,2023,Median Age,US,B01001_003EA,,B01001_003EA
United States,1,2018,Median Age,US,B01001_003M,,B01001_003M
United States,1,2019,Median Age,US,B01001_003M,,B01001_003M
United States,1,2020,Median Age,US,B01001_003M,,B01001_003M
United States,1,2021,Median Age,US,B01001_003M,,B01001_003M
United States,1,2022,Median Age,US,B01001_003M,,B01001_003M
United States,1,2023,Median Age,US,B01001_003M,,B01001_003M
United States,1,2018,Median Age,US,B01001_003MA,,B01001_003MA
United States,1,2019,Median Age,US,B01001_003MA,,B01001_003MA
United States,1,2020,Median Age,US,B01001_003MA,,B01001_003MA
United States,1,2021,Median Age,US,B01001_003MA,,B01001_003MA
United States,1,2022,Median Age,US,B01001_003MA,,B01001_003MA
United States,1,2023,Median Age,US,B01001_003MA,,B01001_003MA
United States,1,2018,Median Age,US,B01001_004E,,B01001_004E
United States,1,2019,Median Age,US,B01001_004E,,B01001_004E
United States,1,2020,Median Age,US,B01001_004E,,B01001_004E
United States,1,2021,Median Age,US,B01001_004E,,B01001_004E
United States,1,2022,Median Age,US,B01001_004E,,B01001_004E
United States,1,2023,Median Age,US,B01001_004E,,B01001_004E
United States,1,2018,Median Age,US,B01001_004EA,,B01001_004EA
United States,1,2019,Median Age,US,B01001_004EA,,B01001_004EA
United States,1,2020,Median Age,US,B01001_004EA,,B01001_004EA
United States,1,2021,Median Age,US,B01001_004EA,,B01001_004EA
United States,1,2022,Median Age,US,B01001_004EA,,B01001_004EA
United States,1,2023,Median Age,US,B01001_004EA,,B01001_004EA
United States,1,2018,Median Age,US,B01001_004M,,B01001_004M
United States,1,2019,Median Age,US,B01001_004M,,B01001_004M
United States,1,2020,Median Age,US,B01001_004M,,B01001_004M
United States,1,2021,Median Age,US,B01001_004M,,B01001_004M
United States,1,2022,Median Age,US,B01001_004M,,B01001_004M
United States,1,2023,Median Age,US,B01001_004M,,B01001_004M
United States,1,2018,Median Age,US,B01001_004MA,,B01001_004MA
United States,1,2019,Median Age,US,B01001_004MA,,B01001_004MA
United States,1,2020,Median Age,US,B01001_004MA,,B01001_004MA
United States,1,2021,Median Age,US,B01001_004MA,,B01001_004MA
United States,1,2022,Median Age,US,B01001_004MA,,B01001_004MA
United States,1,2023,Median Age,US,B01001_004MA,,B01001_004MA
United States,1,2018,Median Age,US,B01001_005E,,B01001_005E
United States,1,2019,Median Age,US,B01001_005E,,B01001_005E
United States,1,2020,Median Age,US,B01001_005E,,B01001_005E
United States,1,2021,Median Age,US,B01001_005E,,B01001_005E
United States,1,2022,Median Age,US,B01001_005E,,B01001_005E
United States,1,2023,Median Age,US,B01001_005E,,B01001_005E
United States,1,2018,Median Age,US,B01001_005EA,,B01001_005EA
United States,1,2019,Median Age,US,B01001_005EA,,B01001_005EA
United States,1,2020,Median Age,US,B01001_005EA,,B01001_005EA
United States,1,2021,Median Age,US,B01001_005EA,,B01001_005EA
United States,1,2022,Median Age,US,B01001_005EA,,B01001_005EA
United States,1,2023,Median Age,US,B01001_005EA,,B01001_005EA
United States,1,2018,Median Age,US,B01001_005M,,B01001_005M
United States,1,2019,Median Age,US,B01001_005M,,B01001_005M
United States,1,2020,Median Age,US,B01001_005M,,B01001_005M
United States,1,2021,Median Age,US,B01001_005M,,B01001_005M
United States,1,2022,Median Age,US,B01001_005M,,B01001_005M
United States,1,2023,Median Age,US,B01001_005M,,B01001_005M
United States,1,2018,Median Age,US,B01001_005MA,,B01001_005MA
United States,1,2019,Median Age,US,B01001_005MA,,B01001_005MA
United States,1,2020,Median Age,US,B01001_005MA,,B01001_005MA
United States,1,2021,Median Age,US,B01001_005MA,,B01001_005MA
United States,1,2022,Median Age,US,B01001_005MA,,B01001_005MA
United States,1,2023,Median Age,US,B01001_005MA,,B01001_005MA
United States,1,2018,Median Age,US,B01001_006E,,B01001_006E
United States,1,2019,Median Age,US,B01001_006E,,B01001_006E
United States,1,2020,Median Age,US,B01001_006E,,B01001_006E
United States,1,2021,Median Age,US,B01001_006E,,B01001_006E
United States,1,2022,Median Age,US,B01001_006E,,B01001_006E
United States,1,2023,Median Age,US,B01001_006E,,B01001_006E
United States,1,2018,Median Age,US,B01001_006EA,,B01001_006EA
United States,1,2019,Median Age,US,B01001_006EA,,B01001_006EA
United States,1,2020,Median Age,US,B01001_006EA,,B01001_006EA
United States,1,2021,Median Age,US,B01001_006EA,,B01001_006EA
United States,1,2022,Median Age,US,B01001_006EA,,B01001_006EA
United States,1,2023,Median Age,US,B01001_006EA,,B01001_006EA
United States,1,2018,Median Age,US,B01001_006M,,B01001_006M
United States,1,2019,Median Age,US,B01001_006M,,B01001_006M
United States,1,2020,Median Age,US,B01001_006M,,B01001_006M
United States,1,2021,Median Age,US,B01001_006M,,B01001_006M
United States,1,2022,Median Age,US,B01001_006M,,B01001_006M
United States,1,2023,Median Age,US,B01001_006M,,B01001_006M
United States,1,2018,Median Age,US,B01001_006MA,,B01001_006MA
United States,1,2019,Median Age,US,B01001_006MA,,B01001_006MA
United States,1,2020,Median Age,US,B01001_006MA,,B01001_006MA
United States,1,2021,Median Age,US,B01001_006MA,,B01001_006MA
United States,1,2022,Median Age,US,B01001_006MA,,B01001_006MA
United States,1,2023,Median Age,US,B01001_006MA,,B01001_006MA
United States,1,2018,Median Age,US,B01001_007E,,B01001_007E
United States,1,2019,Median Age,US,B01001_007E,,B01001_007E
United States,1,2020,Median Age,US,B01001_007E,,B01001_007E
United States,1,2021,Median Age,US,B01001_007E,,B01001_007E
United States,1,2022,Median Age,US,B01001_007E,,B01001_007E
United States,1,2023,Median Age,US,B01001_007E,,B01001_007E
United States,1,2018,Median Age,US,B01001_007EA,,B01001_007EA
United States,1,2019,Median Age,US,B01001_007EA,,B01001_007EA
United States,1,2020,Median Age,US,B01001_007EA,,B01001_007EA
United States,1,2021,Median Age,US,B01001_007EA,,B01001_007EA
United States,1,2022,Median Age,US,B01001_007EA,,B01001_007EA
United States,1,2023,Median Age,US,B01001_007EA,,B01001_007EA
United States,1,2018,Median Age,US,B01001_007M,,B01001_007M
United States,1,2019,Median Age,US,B01001_007M,,B01001_007M
United States,1,2020,Median Age,US,B01001_007M,,B01001_007M
United States,1,2021,Median Age,US,B01001_007M,,B01001_007M
United States,1,2022,Median Age,US,B01001_007M,,B01001_007M
United States,1,2023,Median Age,US,B01001_007M,,B01001_007M
United States,1,2018,Median Age,US,B01001_007MA,,B01001_007MA
