NAME,us,Year,Topic,Geo,Variable,Value,Display
United States,1,2018,Sex by Age (full),US,DP05_0001E,,Total population
United States,1,2019,Sex by Age (full),US,DP05_0001E,,Total population
United States,1,2020,Sex by Age (full),US,DP05_0001E,,Total population
United States,1,2021,Sex by Age (full),US,DP05_0001E,,Total population
United States,1,2022,Sex by Age (full),US,DP05_0001E,,Total population
United States,1,2023,Sex by Age (full),US,DP05_0001E,,Total population
United States,1,2018,Sex by Age (full),US,DP05_0018E,,Median age (years)
United States,1,2019,Sex by Age (full),US,DP05_0018E,,Median age (years)
United States,1,2020,Sex by Age (full),US,DP05_0018E,,Median age (years)
United States,1,2021,Sex by Age (full),US,DP05_0018E,,Median age (years)
United States,1,2022,Sex by Age (full),US,DP05_0018E,,Median age (years)
United States,1,2023,Sex by Age (full),US,DP05_0018E,,Median age (years)
United States,1,2018,Sex by Age (full),US,B01001_001E,322903030.0,B01001_001E
United States,1,2019,Sex by Age (full),US,B01001_001E,324697795.0,B01001_001E
United States,1,2020,Sex by Age (full),US,B01001_001E,326569308.0,B01001_001E
United States,1,2021,Sex by Age (full),US,B01001_001E,329725481.0,B01001_001E
United States,1,2022,Sex by Age (full),US,B01001_001E,331097593.0,B01001_001E
United States,1,2023,Sex by Age (full),US,B01001_001E,332387540.0,B01001_001E
United States,1,2018,Sex by Age (full),US,B01001_001EA,,B01001_001EA
United States,1,2019,Sex by Age (full),US,B01001_001EA,,B01001_001EA
United States,1,2020,Sex by Age (full),US,B01001_001EA,,B01001_001EA
United States,1,2021,Sex by Age (full),US,B01001_001EA,,B01001_001EA
United States,1,2022,Sex by Age (full),US,B01001_001EA,,B01001_001EA
United States,1,2023,Sex by Age (full),US,B01001_001EA,,B01001_001EA
United States,1,2018,Sex by Age (full),US,B01001_001M,-555555555.0,B01001_001M
United States,1,2019,Sex by Age (full),US,B01001_001M,-555555555.0,B01001_001M
United States,1,2020,Sex by Age (full),US,B01001_001M,-555555555.0,B01001_001M
United States,1,2021,Sex by Age (full),US,B01001_001M,-555555555.0,B01001_001M
United States,1,2022,Sex by Age (full),US,B01001_001M,-555555555.0,B01001_001M
United States,1,2023,Sex by Age (full),US,B01001_001M,-555555555.0,B01001_001M
United States,1,2018,Sex by Age (full),US,B01001_001MA,,B01001_001MA
United States,1,2019,Sex by Age (full),US,B01001_001MA,,B01001_001MA
United States,1,2020,Sex by Age (full),US,B01001_001MA,,B01001_001MA
United States,1,2021,Sex by Age (full),US,B01001_001MA,,B01001_001MA
United States,1,2022,Sex by Age (full),US,B01001_001MA,,B01001_001MA
United States,1,2023,Sex by Age (full),US,B01001_001MA,,B01001_001MA
United States,1,2018,Sex by Age (full),US,B01001_002E,158984190.0,B01001_002E
United States,1,2019,Sex by Age (full),US,B01001_002E,159886919.0,B01001_002E
United States,1,2020,Sex by Age (full),US,B01001_002E,160818530.0,B01001_002E
United States,1,2021,Sex by Age (full),US,B01001_002E,163206615.0,B01001_002E
United States,1,2022,Sex by Age (full),US,B01001_002E,164200298.0,B01001_002E
United States,1,2023,Sex by Age (full),US,B01001_002E,164545087.0,B01001_002E
United States,1,2018,Sex by Age (full),US,B01001_002EA,,B01001_002EA
United States,1,2019,Sex by Age (full),US,B01001_002EA,,B01001_002EA
United States,1,2020,Sex by Age (full),US,B01001_002EA,,B01001_002EA
United States,1,2021,Sex by Age (full),US,B01001_002EA,,B01001_002EA
United States,1,2022,Sex by Age (full),US,B01001_002EA,,B01001_002EA
United States,1,2023,Sex by Age (full),US,B01001_002EA,,B01001_002EA
United States,1,2018,Sex by Age (full),US,B01001_002M,6691.0,B01001_002M
United States,1,2019,Sex by Age (full),US,B01001_002M,5817.0,B01001_002M
United States,1,2020,Sex by Age (full),US,B01001_002M,7991.0,B01001_002M
United States,1,2021,Sex by Age (full),US,B01001_002M,7110.0,B01001_002M
United States,1,2022,Sex by Age (full),US,B01001_002M,8084.0,B01001_002M
United States,1,2023,Sex by Age (full),US,B01001_002M,6966.0,B01001_002M
United States,1,2018,Sex by Age (full),US,B01001_002MA,,B01001_002MA
United States,1,2019,Sex by Age (full),US,B01001_002MA,,B01001_002MA
United States,1,2020,Sex by Age (full),US,B01001_002MA,,B01001_002MA
United States,1,2021,Sex by Age (full),US,B01001_002MA,,B01001_002MA
United States,1,2022,Sex by Age (full),US,B01001_002MA,,B01001_002MA
United States,1,2023,Sex by Age (full),US,B01001_002MA,,B01001_002MA
United States,1,2018,Sex by Age (full),US,B01001_003E,10146960.0,B01001_003E
United States,1,2019,Sex by Age (full),US,B01001_003E,10112614.0,B01001_003E
United States,1,2020,Sex by Age (full),US,B01001_003E,10051876.0,B01001_003E
United States,1,2021,Sex by Age (full),US,B01001_003E,9940776.0,B01001_003E
United States,1,2022,Sex by Age (full),US,B01001_003E,9725644.0,B01001_003E
United States,1,2023,Sex by Age (full),US,B01001_003E,9688436.0,B01001_003E
United States,1,2018,Sex by Age (full),US,B01001_003EA,,B01001_003EA
United States,1,2019,Sex by Age (full),US,B01001_003EA,,B01001_003EA
United States,1,2020,Sex by Age (full),US,B01001_003EA,,B01001_003EA
United States,1,2021,Sex by Age (full),US,B01001_003EA,,B01001_003EA
United States,1,2022,Sex by Age (full),US,B01001_003EA,,B01001_003EA
United States,1,2023,Sex by Age (full),US,B01001_003EA,,B01001_003EA
United States,1,2018,Sex by Age (full),US,B01001_003M,3495.0,B01001_003M
United States,1,2019,Sex by Age (full),US,B01001_003M,3826.0,B01001_003M
United States,1,2020,Sex by Age (full),US,B01001_003M,3698.0,B01001_003M
United States,1,2021,Sex by Age (full),US,B01001_003M,4114.0,B01001_003M
United States,1,2022,Sex by Age (full),US,B01001_003M,3889.0,B01001_003M
United States,1,2023,Sex by Age (full),US,B01001_003M,4185.0,B01001_003M
United States,1,2018,Sex by Age (full),US,B01001_003MA,,B01001_003MA
United States,1,2019,Sex by Age (full),US,B01001_003MA,,B01001_003MA
United States,1,2020,Sex by Age (full),US,B01001_003MA,,B01001_003MA
United States,1,2021,Sex by Age (full),US,B01001_003MA,,B01001_003MA
United States,1,2022,Sex by Age (full),US,B01001_003MA,,B01001_003MA
United States,1,2023,Sex by Age (full),US,B01001_003MA,,B01001_003MA
United States,1,2018,Sex by Age (full),US,B01001_004E,10357512.0,B01001_004E
United States,1,2019,Sex by Age (full),US,B01001_004E,10276829.0,B01001_004E
United States,1,2020,Sex by Age (full),US,B01001_004E,10191107.0,B01001_004E
United States,1,2021,Sex by Age (full),US,B01001_004E,10353792.0,B01001_004E
United States,1,2022,Sex by Age (full),US,B01001_004E,10210019.0,B01001_004E
United States,1,2023,Sex by Age (full),US,B01001_004E,10296243.0,B01001_004E
United States,1,2018,Sex by Age (full),US,B01001_004EA,,B01001_004EA
United States,1,2019,Sex by Age (full),US,B01001_004EA,,B01001_004EA
United States,1,2020,Sex by Age (full),US,B01001_004EA,,B01001_004EA
United States,1,2021,Sex by Age (full),US,B01001_004EA,,B01001_004EA
United States,1,2022,Sex by Age (full),US,B01001_004EA,,B01001_004EA
United States,1,2023,Sex by Age (full),US,B01001_004EA,,B01001_004EA
United States,1,2018,Sex by Age (full),US,B01001_004M,14342.0,B01001_004M
United States,1,2019,Sex by Age (full),US,B01001_004M,16598.0,B01001_004M
United States,1,2020,Sex by Age (full),US,B01001_004M,20206.0,B01001_004M
United States,1,2021,Sex by Age (full),US,B01001_004M,22837.0,B01001_004M
United States,1,2022,Sex by Age (full),US,B01001_004M,22849.0,B01001_004M
United States,1,2023,Sex by Age (full),US,B01001_004M,22450.0,B01001_004M
United States,1,2018,Sex by Age (full),US,B01001_004MA,,B01001_004MA
United States,1,2019,Sex by Age (full),US,B01001_004MA,,B01001_004MA
United States,1,2020,Sex by Age (full),US,B01001_004MA,,B01001_004MA
United States,1,2021,Sex by Age (full),US,B01001_004MA,,B01001_004MA
United States,1,2022,Sex by Age (full),US,B01001_004MA,,B01001_004MA
United States,1,2023,Sex by Age (full),US,B01001_004MA,,B01001_004MA
United States,1,2018,Sex by Age (full),US,B01001_005E,10644356.0,B01001_005E
United States,1,2019,Sex by Age (full),US,B01001_005E,10708022.0,B01001_005E
United States,1,2020,Sex by Age (full),US,B01001_005E,10797748.0,B01001_005E
United States,1,2021,Sex by Age (full),US,B01001_005E,11101231.0,B01001_005E
United States,1,2022,Sex by Age (full),US,B01001_005E,10974635.0,B01001_005E
United States,1,2023,Sex by Age (full),US,B01001_005E,11032019.0,B01001_005E
United States,1,2018,Sex by Age (full),US,B01001_005EA,,B01001_005EA
United States,1,2019,Sex by Age (full),US,B01001_005EA,,B01001_005EA
United States,1,2020,Sex by Age (full),US,B01001_005EA,,B01001_005EA
United States,1,2021,Sex by Age (full),US,B01001_005EA,,B01001_005EA
United States,1,2022,Sex by Age (full),US,B01001_005EA,,B01001_005EA
United States,1,2023,Sex by Age (full),US,B01001_005EA,,B01001_005EA
United States,1,2018,Sex by Age (full),US,B01001_005M,15705.0,B01001_005M
United States,1,2019,Sex by Age (full),US,B01001_005M,16572.0,B01001_005M
United States,1,2020,Sex by Age (full),US,B01001_005M,21279.0,B01001_005M
