NAME,state,zip code tabulation area,Year,Topic,Geo,Variable,Value,Display
ZCTA5 90712,06,90712,2018,Median Age,90712,B01003_001E,,Total population
ZCTA5 90755,06,90755,2018,Median Age,90755,B01003_001E,,Total population
ZCTA5 90802,06,90802,2018,Median Age,90802,B01003_001E,,Total population
ZCTA5 90803,06,90803,2018,Median Age,90803,B01003_001E,,Total population
ZCTA5 90804,06,90804,2018,Median Age,90804,B01003_001E,,Total population
ZCTA5 90805,06,90805,2018,Median Age,90805,B01003_001E,,Total population
ZCTA5 90806,06,90806,2018,Median Age,90806,B01003_001E,,Total population
ZCTA5 90807,06,90807,2018,Median Age,90807,B01003_001E,,Total population
ZCTA5 90808,06,90808,2018,Median Age,90808,B01003_001E,,Total population
ZCTA5 90810,06,90810,2018,Median Age,90810,B01003_001E,,Total population
ZCTA5 90813,06,90813,2018,Median Age,90813,B01003_001E,,Total population
ZCTA5 90814,06,90814,2018,Median Age,90814,B01003_001E,,Total population
ZCTA5 90815,06,90815,2018,Median Age,90815,B01003_001E,,Total population
ZCTA5 90712,06,90712,2019,Median Age,90712,B01003_001E,,Total population
ZCTA5 90755,06,90755,2019,Median Age,90755,B01003_001E,,Total population
ZCTA5 90802,06,90802,2019,Median Age,90802,B01003_001E,,Total population
ZCTA5 90803,06,90803,2019,Median Age,90803,B01003_001E,,Total population
ZCTA5 90804,06,90804,2019,Median Age,90804,B01003_001E,,Total population
ZCTA5 90805,06,90805,2019,Median Age,90805,B01003_001E,,Total population
ZCTA5 90806,06,90806,2019,Median Age,90806,B01003_001E,,Total population
ZCTA5 90807,06,90807,2019,Median Age,90807,B01003_001E,,Total population
ZCTA5 90808,06,90808,2019,Median Age,90808,B01003_001E,,Total population
ZCTA5 90810,06,90810,2019,Median Age,90810,B01003_001E,,Total population
ZCTA5 90813,06,90813,2019,Median Age,90813,B01003_001E,,Total population
ZCTA5 90814,06,90814,2019,Median Age,90814,B01003_001E,,Total population
ZCTA5 90815,06,90815,2019,Median Age,90815,B01003_001E,,Total population
ZCTA5 90712,,90712,2020,Median Age,90712,B01003_001E,,Total population
ZCTA5 90755,,90755,2020,Median Age,90755,B01003_001E,,Total population
ZCTA5 90802,,90802,2020,Median Age,90802,B01003_001E,,Total population
ZCTA5 90803,,90803,2020,Median Age,90803,B01003_001E,,Total population
ZCTA5 90804,,90804,2020,Median Age,90804,B01003_001E,,Total population
ZCTA5 90805,,90805,2020,Median Age,90805,B01003_001E,,Total population
ZCTA5 90806,,90806,2020,Median Age,90806,B01003_001E,,Total population
ZCTA5 90807,,90807,2020,Median Age,90807,B01003_001E,,Total population
ZCTA5 90808,,90808,2020,Median Age,90808,B01003_001E,,Total population
ZCTA5 90810,,90810,2020,Median Age,90810,B01003_001E,,Total population
ZCTA5 90813,,90813,2020,Median Age,90813,B01003_001E,,Total population
ZCTA5 90814,,90814,2020,Median Age,90814,B01003_001E,,Total population
ZCTA5 90815,,90815,2020,Median Age,90815,B01003_001E,,Total population
ZCTA5 90712,,90712,2021,Median Age,90712,B01003_001E,,Total population
ZCTA5 90755,,90755,2021,Median Age,90755,B01003_001E,,Total population
ZCTA5 90802,,90802,2021,Median Age,90802,B01003_001E,,Total population
ZCTA5 90803,,90803,2021,Median Age,90803,B01003_001E,,Total population
ZCTA5 90804,,90804,2021,Median Age,90804,B01003_001E,,Total population
ZCTA5 90805,,90805,2021,Median Age,90805,B01003_001E,,Total population
ZCTA5 90806,,90806,2021,Median Age,90806,B01003_001E,,Total population
ZCTA5 90807,,90807,2021,Median Age,90807,B01003_001E,,Total population
ZCTA5 90808,,90808,2021,Median Age,90808,B01003_001E,,Total population
ZCTA5 90810,,90810,2021,Median Age,90810,B01003_001E,,Total population
ZCTA5 90813,,90813,2021,Median Age,90813,B01003_001E,,Total population
ZCTA5 90814,,90814,2021,Median Age,90814,B01003_001E,,Total population
ZCTA5 90815,,90815,2021,Median Age,90815,B01003_001E,,Total population
ZCTA5 90712,,90712,2022,Median Age,90712,B01003_001E,,Total population
ZCTA5 90755,,90755,2022,Median Age,90755,B01003_001E,,Total population
ZCTA5 90802,,90802,2022,Median Age,90802,B01003_001E,,Total population
ZCTA5 90803,,90803,2022,Median Age,90803,B01003_001E,,Total population
ZCTA5 90804,,90804,2022,Median Age,90804,B01003_001E,,Total population
ZCTA5 90805,,90805,2022,Median Age,90805,B01003_001E,,Total population
ZCTA5 90806,,90806,2022,Median Age,90806,B01003_001E,,Total population
ZCTA5 90807,,90807,2022,Median Age,90807,B01003_001E,,Total population
ZCTA5 90808,,90808,2022,Median Age,90808,B01003_001E,,Total population
ZCTA5 90810,,90810,2022,Median Age,90810,B01003_001E,,Total population
ZCTA5 90813,,90813,2022,Median Age,90813,B01003_001E,,Total population
ZCTA5 90814,,90814,2022,Median Age,90814,B01003_001E,,Total population
ZCTA5 90815,,90815,2022,Median Age,90815,B01003_001E,,Total population
ZCTA5 90712,,90712,2023,Median Age,90712,B01003_001E,,Total population
ZCTA5 90755,,90755,2023,Median Age,90755,B01003_001E,,Total population
ZCTA5 90802,,90802,2023,Median Age,90802,B01003_001E,,Total population
ZCTA5 90803,,90803,2023,Median Age,90803,B01003_001E,,Total population
ZCTA5 90804,,90804,2023,Median Age,90804,B01003_001E,,Total population
ZCTA5 90805,,90805,2023,Median Age,90805,B01003_001E,,Total population
ZCTA5 90806,,90806,2023,Median Age,90806,B01003_001E,,Total population
ZCTA5 90807,,90807,2023,Median Age,90807,B01003_001E,,Total population
ZCTA5 90808,,90808,2023,Median Age,90808,B01003_001E,,Total population
ZCTA5 90810,,90810,2023,Median Age,90810,B01003_001E,,Total population
ZCTA5 90813,,90813,2023,Median Age,90813,B01003_001E,,Total population
ZCTA5 90814,,90814,2023,Median Age,90814,B01003_001E,,Total population
ZCTA5 90815,,90815,2023,Median Age,90815,B01003_001E,,Total population
ZCTA5 90712,06,90712,2018,Median Age,90712,B01002_001E,39.0,Median age (years)
ZCTA5 90755,06,90755,2018,Median Age,90755,B01002_001E,36.8,Median age (years)
ZCTA5 90802,06,90802,2018,Median Age,90802,B01002_001E,36.0,Median age (years)
ZCTA5 90803,06,90803,2018,Median Age,90803,B01002_001E,44.3,Median age (years)
ZCTA5 90804,06,90804,2018,Median Age,90804,B01002_001E,31.9,Median age (years)
ZCTA5 90805,06,90805,2018,Median Age,90805,B01002_001E,30.9,Median age (years)
ZCTA5 90806,06,90806,2018,Median Age,90806,B01002_001E,33.0,Median age (years)
ZCTA5 90807,06,90807,2018,Median Age,90807,B01002_001E,41.4,Median age (years)
ZCTA5 90808,06,90808,2018,Median Age,90808,B01002_001E,43.0,Median age (years)
ZCTA5 90810,06,90810,2018,Median Age,90810,B01002_001E,33.3,Median age (years)
ZCTA5 90813,06,90813,2018,Median Age,90813,B01002_001E,29.1,Median age (years)
ZCTA5 90814,06,90814,2018,Median Age,90814,B01002_001E,37.8,Median age (years)
ZCTA5 90815,06,90815,2018,Median Age,90815,B01002_001E,37.8,Median age (years)
ZCTA5 90712,06,90712,2019,Median Age,90712,B01002_001E,39.3,Median age (years)
ZCTA5 90755,06,90755,2019,Median Age,90755,B01002_001E,37.9,Median age (years)
ZCTA5 90802,06,90802,2019,Median Age,90802,B01002_001E,36.4,Median age (years)
ZCTA5 90803,06,90803,2019,Median Age,90803,B01002_001E,45.4,Median age (years)
ZCTA5 90804,06,90804,2019,Median Age,90804,B01002_001E,32.0,Median age (years)
ZCTA5 90805,06,90805,2019,Median Age,90805,B01002_001E,31.2,Median age (years)
ZCTA5 90806,06,90806,2019,Median Age,90806,B01002_001E,33.1,Median age (years)
ZCTA5 90807,06,90807,2019,Median Age,90807,B01002_001E,42.1,Median age (years)
ZCTA5 90808,06,90808,2019,Median Age,90808,B01002_001E,42.4,Median age (years)
ZCTA5 90810,06,90810,2019,Median Age,90810,B01002_001E,34.2,Median age (years)
ZCTA5 90813,06,90813,2019,Median Age,90813,B01002_001E,30.1,Median age (years)
ZCTA5 90814,06,90814,2019,Median Age,90814,B01002_001E,36.5,Median age (years)
ZCTA5 90815,06,90815,2019,Median Age,90815,B01002_001E,37.8,Median age (years)
ZCTA5 90712,,90712,2020,Median Age,90712,B01002_001E,38.6,Median age (years)
ZCTA5 90755,,90755,2020,Median Age,90755,B01002_001E,37.3,Median age (years)
ZCTA5 90802,,90802,2020,Median Age,90802,B01002_001E,36.0,Median age (years)
ZCTA5 90803,,90803,2020,Median Age,90803,B01002_001E,45.8,Median age (years)
ZCTA5 90804,,90804,2020,Median Age,90804,B01002_001E,33.1,Median age (years)
ZCTA5 90805,,90805,2020,Median Age,90805,B01002_001E,31.8,Median age (years)
ZCTA5 90806,,90806,2020,Median Age,90806,B01002_001E,33.7,Median age (years)
ZCTA5 90807,,90807,2020,Median Age,90807,B01002_001E,40.9,Median age (years)
ZCTA5 90808,,90808,2020,Median Age,90808,B01002_001E,42.9,Median age (years)
ZCTA5 90810,,90810,2020,Median Age,90810,B01002_001E,34.8,Median age (years)
ZCTA5 90813,,90813,2020,Median Age,90813,B01002_001E,30.3,Median age (years)
ZCTA5 90814,,90814,2020,Median Age,90814,B01002_001E,37.2,Median age (years)
ZCTA5 90815,,90815,2020,Median Age,90815,B01002_001E,36.6,Median age (years)
ZCTA5 90712,,90712,2021,Median Age,90712,B01002_001E,37.6,Median age (years)
ZCTA5 90755,,90755,2021,Median Age,90755,B01002_001E,36.0,Median age (years)
ZCTA5 90802,,90802,2021,Median Age,90802,B01002_001E,35.8,Median age (years)
ZCTA5 90803,,90803,2021,Median Age,90803,B01002_001E,45.8,Median age (years)
ZCTA5 90804,,90804,2021,Median Age,90804,B01002_001E,33.4,Median age (years)
ZCTA5 90805,,90805,2021,Median Age,90805,B01002_001E,32.7,Median age (years)
ZCTA5 90806,,90806,2021,Median Age,90806,B01002_001E,34.1,Median age (years)
ZCTA5 90807,,90807,2021,Median Age,90807,B01002_001E,43.3,Median age (years)
ZCTA5 90808,,90808,2021,Median Age,90808,B01002_001E,43.2,Median age (years)
ZCTA5 90810,,90810,2021,Median Age,90810,B01002_001E,35.3,Median age (years)
ZCTA5 90813,,90813,2021,Median Age,90813,B01002_001E,30.6,Median age (years)
ZCTA5 90814,,90814,2021,Median Age,90814,B01002_001E,37.3,Median age (years)
ZCTA5 90815,,90815,2021,Median Age,90815,B01002_001E,36.5,Median age (years)
ZCTA5 90712,,90712,2022,Median Age,90712,B01002_001E,37.8,Median age (years)
ZCTA5 90755,,90755,2022,Median Age,90755,B01002_001E,37.0,Median age (years)
ZCTA5 90802,,90802,2022,Median Age,90802,B01002_001E,35.3,Median age (years)
ZCTA5 90803,,90803,2022,Median Age,90803,B01002_001E,46.6,Median age (years)
ZCTA5 90804,,90804,2022,Median Age,90804,B01002_001E,34.0,Median age (years)
ZCTA5 90805,,90805,2022,Median Age,90805,B01002_001E,32.5,Median age (years)
ZCTA5 90806,,90806,2022,Median Age,90806,B01002_001E,35.0,Median age (years)
ZCTA5 90807,,90807,2022,Median Age,90807,B01002_001E,41.6,Median age (years)
ZCTA5 90808,,90808,2022,Median Age,90808,B01002_001E,43.3,Median age (years)
ZCTA5 90810,,90810,2022,Median Age,90810,B01002_001E,36.4,Median age (years)
ZCTA5 90813,,90813,2022,Median Age,90813,B01002_001E,31.7,Median age (years)
ZCTA5 90814,,90814,2022,Median Age,90814,B01002_001E,36.2,Median age (years)
ZCTA5 90815,,90815,2022,Median Age,90815,B01002_001E,36.9,Median age (years)
ZCTA5 90712,,90712,2023,Median Age,90712,B01002_001E,37.6,Median age (years)
